Words,Borrow-ness_value,Rank
car,7,1.5
degree,7,1.5
university,6,5.0
cancer,6,5.0
traffic,6,5.0
class,6,5.0
school,6,5.0
college,5,9.0
script,5,9.0
toilet,5,9.0
seat,4,14.5
group,4,14.5
judge,4,14.5
driver,4,14.5
luck,4,14.5
service,4,14.5
doctor,4,14.5
superstar,4,14.5
way,3,22.0
road,3,22.0
dialogue,3,22.0
scene,3,22.0
uncle,3,22.0
week,3,22.0
officer,3,22.0
room,2,28.0
request,2,28.0
hall,2,28.0
title,2,28.0
friend,2,28.0
performance,1,32.0
candidate,1,32.0
singer,1,32.0
politics,0,34.5
lyrics,0,34.5
journalist,-1,37.0
jeweler,-1,37.0
president,-1,37.0
rest,-2,40.5
press,-2,40.5
shoot,-2,40.5
angel,-2,40.5
parliament,-3,43.5
body,-3,43.5
day,-4,47.0
assembly,-4,47.0
defense,-4,47.0
reason,-4,47.0
wrong,-4,47.0
writer,-5,52.0
house,-5,52.0
vacation,-5,52.0
guy,-5,52.0
question,-5,52.0
moments,-6,56.0
boy,-6,56.0
people,-6,56.0
magic,-7,58.5
matter,-7,58.5
anthem,-8,63.0
woman,-8,63.0
god,-8,63.0
play,-8,63.0
town,-8,63.0
thing,-8,63.0
blue,-8,63.0
society,-10,68.5
cool,-10,68.5
money,-10,68.5
farmer,-10,68.5
