Words,Proposed Metric Value,Rank
degree,4.14880952381,1
day,4.00776978138,2
uncle,3.20470383275,3
dialogue,3.17444601603,4
seat,3.05342831701,5
scene,3.04329004329,6
politics,3.02058789889,7
class,3.01613274948,8
god,3.00854637884,9
room,2.05012531328,10
title,2.04845446951,11
superstar,2.04676870748,12
car,2.04293520687,13
anthem,2.03816793893,14
school,2.0361516035,15
vacation,2.03098853424,16
assembly,2.02853067047,17
university,2.02480477722,18
request,2.0219611288,19
cool,2.02049012376,20
friend,2.01974156497,21
president,2.0156128025,22
reason,2.01510650083,23
parliament,2.0131720752,24
guy,2.01046755059,25
luck,2.01012722324,26
play,2.00558713033,27
performance,2.00291813181,28
people,2.00146326295,29
defense,1.13736263736,30
hall,1.09950248756,31
writer,1.09216589862,32
angel,1.09022556391,33
farmer,1.088365243,34
cancer,1.08202323992,35
officer,1.0807102502,36
doctor,1.07076514816,37
driver,1.06868131868,38
singer,1.05173900546,39
journalist,1.050457269,40
toilet,1.04365753092,41
town,1.04307250538,42
college,1.0404040404,43
lyrics,1.03692591738,44
judge,1.03100775194,45
candidate,1.02665245203,46
shoot,1.02657807309,47
traffic,1.02621231979,48
body,1.02467781738,49
script,1.02194426158,50
group,1.0184729064,51
road,1.01783237567,52
boy,1.01739664347,53
woman,1.01402852467,54
moments,1.0133386688,55
house,1.0125988661,56
magic,1.01208946202,57
week,1.01154660337,58
press,1.01116071429,59
service,1.01091107474,60
society,1.00785237534,61
blue,1.00737803191,62
matter,1.00661375661,63
question,1.00656311529,64
rest,1.00582139946,65
wrong,1.00482218204,66
thing,1.00457783754,67
money,1.00383337593,68
way,1.00108201688,69
jeweler,1.0,70
